team,seed,region,team_strength,adj_em,shooting_eff,scoring_balance,clutch_factor,sos,to_pct_adj,orb_pct,drb_pct,seed_score,top25_perf,ftr,ast_pct,spi,exp,dvi,opp_to_pct_adj,rpi_rim,eff_height_m,momentum,ctf,q1_record,q34_loss_rate,msrp,fragility,march_readiness,legacy_factor,net_rating,injury_rank,barthag,ppg,opp_ppg,z_rating,star_above_avg,consistency,cinderella,champ_pct
Michigan,1,Midwest,0.863,37.59,0.563,0.5055,0.871,41.86,0.103,0.354,0.723,1.0,1.0,0.282,0.607,8.076,2.1,0.59,0.2512,0.626,2.1,0.889,0.615,0.842,0.0,1.0,0.091,0.847,0.4,2,1,0.98,86.4,68.9,34.57,6.08,12.3,False,31.85
Duke,1,East,0.8544,38.9,0.5503,0.49,0.826,38.43,0.1055,0.381,0.752,1.0,1.0,0.274,0.592,9.439,0.87,0.437,0.2694,0.492,2.07,0.902,0.667,0.895,0.0,0.82,0.108,0.838,0.4,1,2,0.981,80.7,61.9,33.96,7.836,11.1,False,34.93
Arizona,1,West,0.8383,37.66,0.5368,0.502,0.833,38.75,0.1006,0.381,0.731,1.0,1.0,0.315,0.554,5.506,1.58,0.394,0.2506,0.378,2.08,0.915,0.571,0.889,0.0,0.94,0.14,0.878,-0.9,3,3,0.978,84.2,67.3,33.51,2.174,8.0,False,16.12
Florida,1,South,0.7987,33.79,0.5196,0.4785,0.781,39.26,0.1086,0.432,0.752,1.0,1.0,0.278,0.54,5.866,1.94,0.387,0.2341,0.577,2.11,0.813,0.667,0.667,0.0,0.79,0.121,0.752,0.8,4,4,0.973,84.3,70.0,31.95,2.098,11.6,False,7.42
Gonzaga,3,West,0.7631,28.1,0.5423,0.5104,0.903,24.99,0.1416,0.348,0.741,0.333,0.917,0.217,0.567,4.796,2.72,0.445,0.1983,0.539,2.05,0.688,0.661,0.778,0.05,0.73,0.084,0.826,0.2,6,16,0.944,83.1,64.4,24.39,3.42,13.3,False,1.82
Michigan State,3,East,0.7398,28.31,0.5204,0.4703,0.778,37.86,0.1166,0.385,0.774,0.333,1.0,0.276,0.67,6.759,1.4,0.382,0.217,0.362,2.07,0.687,0.673,0.6,0.0,0.47,0.155,0.762,0.2,11,11,0.944,77.4,67.1,28.99,6.537,10.8,False,0.86
Illinois,3,South,0.7368,32.1,0.5335,0.4629,0.718,38.28,0.0891,0.387,0.73,0.333,1.0,0.26,0.512,5.726,1.63,0.442,0.1719,0.393,2.11,0.563,0.476,0.467,0.0,0.91,0.154,0.73,-0.5,8,8,0.968,82.5,68.2,30.84,2.995,11.2,False,2.1
Purdue,2,West,0.7268,31.2,0.5542,0.4984,0.723,41.3,0.0844,0.363,0.736,0.5,1.0,0.212,0.668,7.564,2.48,0.192,0.2495,0.126,2.09,0.442,0.595,0.579,0.0,0.43,0.119,0.777,-0.5,9,6,0.964,80.4,69.0,31.5,5.702,12.2,False,0.76
Connecticut,2,East,0.7244,27.87,0.5327,0.4827,0.751,33.29,0.1303,0.357,0.713,0.5,0.947,0.215,0.65,5.094,2.41,0.569,0.232,0.598,2.07,0.664,0.708,0.7,0.083,0.29,0.14,0.811,1.1,10,9,0.952,75.2,63.2,27.19,3.54,11.4,False,0.85
Virginia,3,Midwest,0.7237,26.71,0.5276,0.4623,0.79,30.58,0.1351,0.379,0.708,0.333,1.0,0.24,0.591,3.787,2.01,0.599,0.1847,0.738,2.09,0.831,0.375,0.667,0.0,0.74,0.174,0.765,-0.5,12,12,0.943,78.1,66.2,25.72,2.503,10.7,False,0.84
